5.5432 	EXP 	fixation: autoDraw = True
5.7269 	EXP 	Device response: <KeyPress from None: t=5.521330300020054, value=left, duration=0.19001729995943606>
6.0264 	INFO 	Keyboard events cleared
6.0262 	EXP 	grating: autoDraw = True
6.0429 	EXP 	fixation: autoDraw = False
6.3259 	EXP 	grating: autoDraw = False
6.3948 	DATA 	Keypress: right
6.4098 	EXP 	Device response: <KeyPress from None: t=6.39413929998409, value=right, duration=None>
6.4259 	EXP 	fixation: autoDraw = False
6.4259 	EXP 	grating: autoDraw = False
6.4259 	EXP 	grating: ori = np.float64(6.0)
6.4259 	EXP 	fixation: autoDraw = True
6.5764 	EXP 	Device response: <KeyPress from None: t=6.39413929998409, value=right, duration=0.17729460005648434>
6.9095 	INFO 	Keyboard events cleared
6.9093 	EXP 	grating: autoDraw = True
6.9257 	EXP 	fixation: autoDraw = False
7.1928 	EXP 	Device response: <KeyPress from None: t=7.180293999961577, value=left, duration=None>
7.1944 	DATA 	Keypress: left
7.2090 	EXP 	grating: autoDraw = False
7.2090 	EXP 	fixation: autoDraw = False
7.2090 	EXP 	grating: autoDraw = False
7.2090 	EXP 	grating: ori = np.float64(6.5)
7.2090 	EXP 	fixation: autoDraw = True
7.3930 	EXP 	Device response: <KeyPress from None: t=7.180293999961577, value=left, duration=0.20492450008168817>
7.6922 	INFO 	Keyboard events cleared
7.6921 	EXP 	grating: autoDraw = True
7.7086 	EXP 	fixation: autoDraw = False
7.9918 	EXP 	grating: autoDraw = False
8.0422 	EXP 	Device response: <KeyPress from None: t=8.031744400039315, value=left, duration=None>
8.0438 	DATA 	Keypress: left
8.0584 	EXP 	fixation: autoDraw = False
8.0584 	EXP 	grating: autoDraw = False
8.0584 	EXP 	grating: ori = np.float64(7.0)
8.0584 	EXP 	fixation: autoDraw = True
8.1754 	EXP 	Device response: <KeyPress from None: t=8.031744400039315, value=left, duration=0.1274320000084117>
8.5416 	INFO 	Keyboard events cleared
8.5414 	EXP 	grating: autoDraw = True
8.5581 	EXP 	fixation: autoDraw = False
8.8412 	EXP 	grating: autoDraw = False
